('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         751453 function calls (730916 primitive calls) in 1.801 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      333    0.000    0.000    0.000    0.000 socket.py:732(readable)
      213    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        2    0.000    0.000    0.059    0.029 connection.py:1(<module>)
    30/17    0.000    0.000    0.368    0.022 {built-in method builtins.__import__}
      254    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        7    0.000    0.000    0.002    0.000 typing.py:2761(_make_nmtuple)
       64    0.000    0.000    0.199    0.003 client.py:633(_safe_read)
      161    0.000    0.000    0.000    0.000 enum.py:202(__get__)
       43    0.000    0.000    0.000    0.000 response.py:1133(_update_chunk_length)
      257    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.085    0.085 adapters.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _text.py:1(<module>)
       20    0.000    0.000    0.010    0.001 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
        5    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
      425    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
        1    0.000    0.000    0.115    0.115 __init__.py:122(__init__)
       26    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
        1    0.000    0.000    0.000    0.000 tempfile.py:271(_RandomNameSequence)
       21    0.000    0.000    0.001    0.000 typing.py:1449(__getitem__)
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
        2    0.000    0.000    0.000    0.000 feedparser.py:469(_parse_headers)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
       77    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
    38/29    0.000    0.000    0.006    0.000 css_parser.py:732(parse_pseudo_open)
       48    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
        2    0.000    0.000    0.001    0.001 cookies.py:1(<module>)
        1    0.000    0.000    0.010    0.010 url.py:1(<module>)
       44    0.000    0.000    0.005    0.000 response.py:469(_decode)
      163    0.000    0.000    0.000    0.000 <frozen os>:766(decode)
        3    0.000    0.000    0.062    0.021 response.py:1(<module>)
      134    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       13    0.000    0.000    0.000    0.000 <frozen _collections_abc>:974(update)
      198    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       54    0.000    0.000    0.000    0.000 typing.py:1147(__init__)
      407    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        1    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
        1    0.000    0.000    0.000    0.000 errors.py:45(NoBoundaryInMultipartDefect)
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
        6    0.000    0.000    0.000    0.000 feedparser.py:216(_parsegen)
       90    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      160    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       34    0.000    0.000    0.000    0.000 ipaddress.py:2238(__init__)
      666    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
        2    0.000    0.000    0.006    0.003 models.py:1(<module>)
        1    0.000    0.000    0.003    0.003 ssl.py:1(<module>)
       10    0.000    0.000    0.000    0.000 structures.py:40(__init__)
       53    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
       51    0.000    0.000    0.000    0.000 parser.py:123(set_cdata_mode)
      3/2    0.000    0.000    0.850    0.425 sessions.py:159(resolve_redirects)
        1    0.000    0.000    0.000    0.000 {method 'bind' of '_socket.socket' objects}
        1    0.000    0.000    0.100    0.100 connectionpool.py:1(<module>)
      227    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      188    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      329    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
        5    0.000    0.000    0.000    0.000 request.py:2505(getproxies_environment)
      284    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       42    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      335    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
       10    0.000    0.000    0.000    0.000 client.py:1292(putheader)
        1    0.000    0.000    0.000    0.000 connectionpool.py:175(__init__)
        2    0.000    0.000    0.731    0.365 connection.py:485(getresponse)
      173    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x7f2c0f47b920}
        2    0.000    0.000    0.000    0.000 connection.py:369(request)
       55    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
